Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.720376529,15.89999962,7.319999695,-42.36000061,45.83407068
0.728372134,15.71999931,7.619999886,-42.36000061,45.82087328
0.736276187,16.02000046,7.559999943,-42.05999756,45.63811355
0.744210757,16.19999886,7.559999943,-42,45.64639703
0.752145328,16.07999992,7.859999657,-41.93999863,45.59944602
0.760110415,16.44000053,7.799999714,-42.05999756,45.82747001
0.768136539,16.02000046,7.799999714,-42.18000031,45.78900344
0.776040591,15.8399992,7.440000057,-42.05999756,45.55548891
0.783975162,15.96000004,7.319999695,-42.29999924,45.79949707
0.791909732,15.96000004,6.960000038,-42.36000061,45.79883026
0.79987482,16.55999947,6.899999619,-42.23999786,45.8918402
0.807870425,16.19999886,7.139999866,-42.29999924,45.85531045
0.815804996,16.26000023,7.619999886,-42.05999756,45.73287002
0.823739566,16.31999969,7.859999657,-41.81999969,45.57449242
0.831704654,15.65999985,8.039999962,-41.81999969,45.37388642
0.839669742,16.31999969,7.859999657,-41.70000076,45.46440419
0.84763483,15.77999973,7.799999714,-41.52000046,45.09721527
0.855538882,15.47999954,7.679999828,-41.81999969,45.24958738
0.863473453,15.71999931,7.679999828,-41.63999939,45.16625206
0.871377505,15.35999966,7.679999828,-41.70000076,45.09769451
0.879342593,15.65999985,7.199999809,-41.93999863,45.3435671
0.887338199,15.42000008,7.139999866,-41.93999863,45.25173461
0.895242251,15.23999977,7.079999924,-42.05999756,45.2926858
0.903176822,15.53999996,7.440000057,-42.29999924,45.67422835
0.911111392,15.23999977,7.799999714,-42.29999924,45.63318446
0.91907648,15.59999943,8.099999428,-42.59999847,46.08394344
0.927102603,15.89999962,8.039999962,-42.54000092,46.12052976
0.935006656,15.11999989,7.619999886,-42.47999954,45.72995906
0.943002261,15.11999989,7.440000057,-42.84000015,46.03513452
0.950906314,15.17999935,7.259999752,-42.36000061,45.57970632
0.958871402,14.5199995,7.199999809,-42.65999985,45.63492051
0.966867007,15.23999977,7.5,-42.54000092,45.80566855
