"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.019879520E-1,2.142000008E1,1.523999977E1,-4.086000061E1,4.858614665E1
6.099225220E-1,2.165999985E1,1.500000000E1,-4.068000031E1,4.846666915E1
6.179486450E-1,2.135999870E1,1.511999989E1,-4.068000031E1,4.837071806E1
6.258526980E-1,2.123999977E1,1.517999935E1,-4.091999817E1,4.853881149E1
6.338177860E-1,2.171999931E1,1.535999966E1,-4.043999863E1,4.840538657E1
6.417828740E-1,2.135999870E1,1.542000008E1,-4.068000031E1,4.846533165E1
6.497784790E-1,2.177999878E1,1.523999977E1,-4.086000061E1,4.874592896E1
6.577435670E-1,2.177999878E1,1.542000008E1,-4.055999756E1,4.855160297E1
6.656476200E-1,2.177999878E1,1.481999969E1,-4.068000031E1,4.846507157E1
6.735821900E-1,2.160000038E1,1.505999947E1,-4.050000000E1,4.830749011E1
6.815167600E-1,2.153999901E1,1.529999924E1,-4.025999832E1,4.815525931E1
6.894818480E-1,2.118000031E1,1.505999947E1,-4.061999893E1,4.822219728E1
6.975079710E-1,2.123999977E1,1.529999924E1,-4.091999817E1,4.857647391E1
7.054120240E-1,2.147999954E1,1.553999996E1,-4.115999985E1,4.895944819E1
7.133771120E-1,2.135999870E1,1.583999920E1,-4.163999939E1,4.940692936E1
7.213422000E-1,2.160000038E1,1.565999985E1,-4.134000015E1,4.920153681E1
7.293378050E-1,2.129999924E1,1.559999943E1,-4.145999908E1,4.915263445E1
7.373028930E-1,2.171999931E1,1.547999954E1,-4.121999741E1,4.909660826E1
7.452069460E-1,2.202000046E1,1.529999924E1,-4.073999786E1,4.877210086E1
7.531720340E-1,2.195999908E1,1.547999954E1,-4.115999985E1,4.915300126E1
7.611371220E-1,2.231999969E1,1.596000004E1,-4.073999786E1,4.911874809E1
7.690716920E-1,2.171999931E1,1.577999973E1,-4.091999817E1,4.894091348E1
7.770978150E-1,2.135999870E1,1.542000008E1,-4.109999847E1,4.881839634E1
7.850018680E-1,2.165999985E1,1.535999966E1,-4.050000000E1,4.842866076E1
7.929364380E-1,2.153999901E1,1.505999947E1,-4.073999786E1,4.848218814E1
8.008710080E-1,2.165999985E1,1.500000000E1,-4.055999756E1,4.836599007E1
8.088055790E-1,2.147999954E1,1.500000000E1,-4.055999756E1,4.828564779E1
8.168317020E-1,2.118000031E1,1.529999924E1,-4.079999924E1,4.844917262E1
8.247357550E-1,2.129999924E1,1.517999935E1,-4.061999893E1,4.831259319E1
8.327008420E-1,2.105999947E1,1.500000000E1,-4.079999924E1,4.830283134E1
8.406048950E-1,2.165999985E1,1.547999954E1,-4.073999786E1,4.866758064E1
8.485394650E-1,2.171999931E1,1.517999935E1,-4.043999863E1,4.834857019E1
8.565350710E-1,2.147999954E1,1.535999966E1,-4.079999924E1,4.859999905E1
8.644391240E-1,2.135999870E1,1.542000008E1,-4.037999725E1,4.821379600E1
8.723736940E-1,2.129999924E1,1.511999989E1,-4.061999893E1,4.829377473E1
8.803082640E-1,2.153999901E1,1.535999966E1,-4.091999817E1,4.872727570E1
8.882428350E-1,2.100000000E1,1.529999924E1,-4.073999786E1,4.832015524E1
8.962689580E-1,2.123999977E1,1.547999954E1,-4.091999817E1,4.863346817E1
9.041730100E-1,2.100000000E1,1.565999985E1,-4.097999954E1,4.863739259E1
9.121075810E-1,2.039999962E1,1.547999954E1,-4.109999847E1,4.842520258E1
9.200726690E-1,2.105999947E1,1.542000008E1,-4.134000015E1,4.889064934E1
9.280072390E-1,2.123999977E1,1.535999966E1,-4.145999908E1,4.905098066E1
9.359723270E-1,2.105999947E1,1.517999935E1,-4.104000092E1,4.856168894E1
9.438763800E-1,2.153999901E1,1.523999977E1,-4.061999893E1,4.843772769E1
9.518109500E-1,2.135999870E1,1.523999977E1,-4.020000076E1,4.800569965E1
9.597455200E-1,2.129999924E1,1.529999924E1,-4.013999939E1,4.794788311E1
9.676800900E-1,2.147999954E1,1.559999943E1,-4.031999969E1,4.827476295E1
9.757062140E-1,2.105999947E1,1.553999996E1,-4.043999863E1,4.817062035E1
9.836407840E-1,2.111999893E1,1.553999996E1,-4.050000000E1,4.824723778E1
9.916058720E-1,2.105999947E1,1.571999931E1,-4.055999756E1,4.832965299E1
9.995404420E-1,2.129999924E1,1.547999954E1,-4.037999725E1,4.820647811E1
1.007475012E0,2.135999870E1,1.535999966E1,-4.050000000E1,4.829522890E1
1.015501135E0,2.135999870E1,1.565999985E1,-4.073999786E1,4.859251553E1
1.023405188E0,2.142000008E1,1.559999943E1,-4.061999893E1,4.849907936E1
1.031339758E0,2.123999977E1,1.583999920E1,-4.097999954E1,4.879962630E1
1.039274329E0,2.105999947E1,1.565999985E1,-4.097999954E1,4.866332844E1
1.047239417E0,2.087999916E1,1.529999924E1,-4.104000092E1,4.852160361E1
1.055265540E0,2.105999947E1,1.511999989E1,-4.157999802E1,4.900034907E1
1.063169592E0,2.052000046E1,1.457999992E1,-4.152000046E1,4.855468314E1
1.071104163E0,2.081999969E1,1.475999928E1,-4.170000076E1,4.888987655E1
1.079069251E0,2.076000023E1,1.451999950E1,-4.152000046E1,4.863865164E1
1.087034339E0,2.015999985E1,1.415999985E1,-4.115999985E1,4.796954010E1
1.094999426E0,2.045999908E1,1.434000015E1,-4.109999847E1,4.809840997E1
1.102903479E0,2.021999931E1,1.427999973E1,-4.055999756E1,4.751715655E1
1.110899085E0,1.997999954E1,1.421999931E1,-4.031999969E1,4.719227837E1
1.118803137E0,2.027999878E1,1.451999950E1,-3.995999908E1,4.710531035E1
1.126798743E0,2.063999939E1,1.451999950E1,-3.959999847E1,4.695742582E1
1.134763831E0,2.087999916E1,1.475999928E1,-3.965999985E1,4.718842582E1
1.142667883E0,2.135999870E1,1.488000011E1,-3.954000092E1,4.734000022E1
1.150602454E0,2.142000008E1,1.463999939E1,-3.971999741E1,4.744285172E1
1.158537024E0,2.153999901E1,1.457999992E1,-3.947999954E1,4.727809555E1
1.166471594E0,2.184000015E1,1.421999931E1,-3.900000000E1,4.690622546E1
1.174436682E0,2.207999992E1,1.409999943E1,-3.929999924E1,4.723162416E1
1.182340735E0,2.226000023E1,1.439999962E1,-3.893999863E1,4.710829112E1
1.190336340E0,2.213999939E1,1.434000015E1,-3.954000092E1,4.753132493E1
